time,regione,fractile,threshold,bracket_average
1974,Italia,0,-1.86034758793e-12,4.945354796954375
1974,Italia,.01,9.939985325661166,15.0337856000236
1974,Italia,.02,20.17747637714435,25.42154842651389
1974,Italia,.03,30.71610742806753,36.11222104757948
1974,Italia,.04,41.5593982033833,47.10926202558611
1974,Italia,.05,52.71074453290303,58.41600130247448
1974,Italia,.06,64.17340888586374,70.03563069429664
1974,Italia,.07,75.95051083160189,81.97119433615389
1974,Italia,.08,88.04501747924655,94.22557913724972
1974,Italia,.09,100.4597339582338,106.8015053109705
1974,Italia,.1,113.1972940114111,119.7015170578692
1974,Italia,.11,126.2601507839289,132.9279734937024
1974,Italia,.12,139.6505679039069,146.4830399178993
1974,Italia,.13,153.3706109653735,160.3686795554628
1974,Italia,.14,167.422139540442,174.5866458861431
1974,Italia,.15,181.8067998663049,189.1384757446791
1974,Italia,.16,196.5260183736889,204.0254833427119
1974,Italia,.17,211.5809962473325,219.2487554386129
1974,Italia,.18,226.9727052361842,234.8091478714883
1974,Italia,.19,242.7018849619048,250.7072837385944
1974,Italia,.2,258.7690420090843,266.9435535065791
1974,Italia,.21,275.1744511206288,283.5181174130846
1974,Italia,.22,291.9181588671152,300.4309105439854
1974,Italia,.23,308.9999902105661,317.6816510437761
1974,Italia,.24,326.4195584422704,335.2698519636752
1974,Italia,.25,344.1762790419102,353.1948373388956
1974,Italia,.26,362.2693880823899,371.4557631588653
1974,Italia,.27,380.6979658935204,390.0516439956359
1974,Italia,.28,399.4609667995147,408.9813861616762
1974,Italia,.29,418.5572558620469,428.2438283928262
1974,Italia,.3,437.98565369544,447.8377912023836
1974,Italia,.31,457.7449905756689,467.7621362128781
1974,Italia,.32,477.8341712442974,488.015836966661
1974,Italia,.33,498.2522520156486,508.5980629458598
1974,Italia,.34,518.9985320357899,529.5082787798509
1974,Italia,.35,540.072660820513,550.746360928219
1974,Italia,.36,561.4747645231355,572.3127344768105
1974,Italia,.37,583.205593759731,594.2085330803829
1974,Italia,.38,605.2666962581832,616.4357855751394
1974,Italia,.39,627.6606181098064,638.9976333279046
1974,Italia,.4,650.3911379968739,661.8985563004794
1974,Italia,.41,673.4634148688713,685.1440945766417
1974,Italia,.42,696.8831406306573,708.7397804494879
1974,Italia,.43,720.6556283877646,732.6906489739872
1974,Italia,.44,744.7856091380258,757.0010704448073
1974,Italia,.45,769.2770616818871,781.6745651671143
1974,Italia,.46,794.1330114380393,806.7135845208946
1974,Italia,.47,819.355292776389,832.1192524422681
1974,Italia,.48,844.9442684976208,857.8910603879874
1974,Italia,.49,870.8984989076339,884.0265075299968
1974,Italia,.5,897.2143515132341,910.5206763909458
1974,Italia,.51,923.8855406429325,937.3657321952059
1974,Italia,.52,950.9025842052688,964.5503319236662
1974,Italia,.53,978.2521622416727,992.0589262164959
1974,Italia,.54,1005.91635882879,1019.870997946716
1974,Italia,.55,1033.87205525335,1047.961345128971
1974,Italia,.5600000000000001,1062.092377648901,1076.301933957359
1974,Italia,.5700000000000001,1090.548200606343,1104.862575478341
1974,Italia,.58,1119.208279825117,1133.610994367475
1974,Italia,.59,1148.039325512171,1162.512929733239
1974,Italia,.6,1177.006133045286,1191.532301185453
1974,Italia,.61,1206.071787569344,1220.63145906612
1974,Italia,.62,1235.197963888648,1249.771543146002
1974,Italia,.63,1264.34534915557,1278.912981134603
1974,Italia,.64,1293.4742239261,1308.016167660155
1974,Italia,.65,1322.545247833644,1337.04237674212
1974,Italia,.66,1351.520510356644,1365.954977297113
1974,Italia,.67,1380.364926231188,1394.721043459291
1974,Italia,.68,1409.048080813508,1423.313481619767
1974,Italia,.6900000000000001,1437.546665723983,1451.713837247262
1974,Italia,.7000000000000001,1465.84769308977,1479.916001124472
1974,Italia,.71,1493.952742949804,1507.931113093592
1974,Italia,.72,1521.883590554695,1535.794070992407
1974,Italia,.73,1549.689689559981,1563.572206845285
1974,Italia,.74,1577.458169867931,1591.376490209393
1974,Italia,.75,1605.325243581019,1619.367017838207
1974,Italia,.76,1633.472619060116,1647.744528414818
1974,Italia,.77,1662.120367155341,1676.750310289371
1974,Italia,.78,1691.532116942427,1706.672735540513
1974,Italia,.79,1722.02226165154,1737.854918825351
1974,Italia,.8,1753.964052848848,1770.703175811909
1974,Italia,.8100000000000001,1787.7983641262,1805.695904685873
1974,Italia,.8200000000000001,1824.042551822286,1843.392017349376
1974,Italia,.8300000000000001,1863.298167717204,1884.437108491488
1974,Italia,.84,1906.255012930186,1929.563785585834
1974,Italia,.85,1953.686639163303,1979.579245238118
1974,Italia,.86,2006.427876476456,2035.326787034645
1974,Italia,.87,2065.316225453182,2097.601686229895
1974,Italia,.88,2131.091440209989,2167.113550274503
1974,Italia,.89,2204.469307136076,2244.649285956395
1974,Italia,.9,2286.329564430371,2331.227132135924
1974,Italia,.91,2377.860339357179,2428.299855950083
1974,Italia,.92,2480.849118740618,2538.208782801291
1974,Italia,.93,2598.358674532928,2665.349851300499
1974,Italia,.9400000000000001,2736.703797970494,2820.418690117722
1974,Italia,.9500000000000001,2913.162290628754,3035.514989214547
1974,Italia,.96,3181.544869672514,3393.004138224874
1974,Italia,.97,3636.660447520097,3878.83385176915
1974,Italia,.98,4112.578504777906,4692.337025695972
1974,Italia,.99,5511.804973128217,9071.825063495342
1975,Italia,0,-7.49047963651e-11,9.027478930853439
1975,Italia,.01,18.14323612914452,27.43324234601528
1975,Italia,.02,36.80918309704435,46.3545055517124
1975,Italia,.03,55.98323985762372,65.77613568978914
1975,Italia,.04,75.64974714689482,85.68195980960881
1975,Italia,.05,95.79202568312475,106.0548091316538
1975,Italia,.06,116.3924267103324,126.8765763305831
1975,Italia,.07,137.432396272289,148.1282873096563
1975,Italia,.08,158.8925547395467,169.7901890377938
1975,Italia,.09,180.7527932629243,191.8418552324152
1975,Italia,.1,202.9923889967103,214.2623118030619
1975,Italia,.11,225.5901411259319,237.0301842087698
1975,Italia,.12,248.524529947301,260.1238690960523
1975,Italia,.13,271.7739014977914,283.5217328405649
1975,Italia,.14,295.3166805007191,307.202339923795
1975,Italia,.15,319.1316147131336,331.1447143989564
1975,Italia,.16,343.1980541151664,355.3286380850091
1975,Italia,.17,367.4962687874686,379.7349895611924
1975,Italia,.18,392.0078097849554,404.3461285326442
1975,Italia,.19,416.7159178410014,429.1463306830564
1975,Italia,.2,441.6059853350934,454.1222787921047
1975,Italia,.21,466.6660776376299,479.2636166050359
1975,Italia,.22,491.887520719502,504.5635727679086
1975,Italia,.23,517.2655627916799,530.0196630891958
1975,Italia,.24,542.8001187326939,555.6344804253514
1975,Italia,.25,568.4966071823408,581.4165826925733
1975,Italia,.26,594.3668914384367,607.3814908284763
1975,Italia,.27,620.4303367009675,633.5528085675775
1975,Italia,.28,646.7149809493073,659.9628948239639
1975,Italia,.29,673.2568557045364,686.6491617717403
1975,Italia,.3,700.0937196952917,713.6487657601948
1975,Italia,.31,727.2619775772162,740.9971117809184
1975,Italia,.32,754.7959039246967,768.7270618864392
1975,Italia,.33,782.7267963524048,796.8680219018578
1975,Italia,.34,811.081992816459,825.4448828981916
1975,Italia,.35,839.8837338410741,854.4767968860964
1975,Italia,.36,869.1478477923126,883.9757633808395
1975,Italia,.37,898.8822343138647,913.9450002609807
1975,Italia,.38,929.0851175691726,944.3770686053542
1975,Italia,.39,959.7430369015779,975.2517168156522
1975,Italia,.4,990.8285377936536,1006.533404235751
1975,Italia,.41,1022.297521757234,1038.168861986757
1975,Italia,.42,1054.087887227787,1070.089993039687
1975,Italia,.43,1086.127368294621,1102.222375994164
1975,Italia,.44,1118.33963027969,1134.487907499336
1975,Italia,.45,1150.644857591627,1166.805189627359
1975,Italia,.46,1182.960144022275,1199.089976118735
1975,Italia,.47,1215.199998125986,1231.255743855309
1975,Italia,.48,1247.276984592194,1263.21441246985
1975,Italia,.49,1279.102526653521,1294.87723959448
1975,Italia,.5,1310.587899696465,1326.155925000951
1975,Italia,.51,1341.645452631362,1356.96396402949
1975,Italia,.52,1372.190101575732,1387.218299700202
1975,Italia,.53,1402.141150458767,1416.841334201409
1975,Italia,.54,1431.42450583495,1445.76337475898
1975,Italia,.55,1459.975369234104,1473.925606965007
1975,Italia,.5600000000000001,1487.741510722683,1501.28371166806
1975,Italia,.5700000000000001,1514.687253207646,1527.812270741935
1975,Italia,.58,1540.798329931809,1553.510144311672
1975,Italia,.59,1566.087819549279,1578.407029213172
1975,Italia,.6,1590.60324204089,1602.568519119755
1975,Italia,.61,1614.426320996704,1626.086502098951
1975,Italia,.62,1637.657000232733,1649.067822911635
1975,Italia,.63,1660.409147683257,1671.633688012825
1975,Italia,.64,1682.811468222581,1693.920617814344
1975,Italia,.65,1705.008453562086,1716.081375836485
1975,Italia,.66,1727.16128156684,1738.285815802934
1975,Italia,.67,1749.448597512295,1760.721563828182
1975,Italia,.68,1772.067077137487,1783.594413699951
1975,Italia,.6900000000000001,1795.231624943552,1807.128257683792
1975,Italia,.7000000000000001,1819.174995298764,1831.5642963472
1975,Italia,.71,1844.146530308363,1857.159158677171
1975,Italia,.72,1870.409575183756,1884.181403777367
1975,Italia,.73,1898.236941638706,1912.905646531668
1975,Italia,.74,1927.90351706882,1943.603220332928
1975,Italia,.75,1959.674723782424,1976.527813154865
1975,Italia,.76,1993.788960579445,2011.893816659378
1975,Italia,.77,2030.431319472487,2049.844402518506
1975,Italia,.78,2069.696695776626,2090.425750873043
1975,Italia,.79,2111.592032052281,2133.62971335022
1975,Italia,.8,2156.101400234411,2179.437563844884
1975,Italia,.8100000000000001,2203.204310392444,2227.82993914992
1975,Italia,.8200000000000001,2252.884508532224,2278.799136700796
1975,Italia,.8300000000000001,2305.146476828821,2332.371600416871
1975,Italia,.84,2360.045063872517,2388.647773109554
1975,Italia,.85,2417.737579947681,2447.87186492215
1975,Italia,.86,2478.574843931307,2510.554001166071
1975,Italia,.87,2543.261038043192,2577.686057797358
1975,Italia,.88,2613.13783556661,2651.100119059938
1975,Italia,.89,2690.579286676591,2733.710034613836
1975,Italia,.9,2779.009670370384,2829.443046034154
